category,title,url
Basic,人生逆転サロンの活用法,https://www.youtube.com/embed/iFMNUM2Q9mg
Basic,Slackの使い方,https://www.youtube.com/embed/x_KeaEUr3jo
Basic,プログラミングを学習するための基礎知識,https://www.youtube.com/embed/Outcx4StSyU
Git,Gitの基本,https://www.youtube.com/embed/cdz-cs_kYto
Git,Gitを使ったクローン、プルリク、マージの流れについて解説,https://www.youtube.com/embed/JispFS6zeDw
Git,ソースコードをリモートリポジトリにプッシュするときの流れ,https://www.youtube.com/embed/FIfbOSy1Bzg
Ruby,Rubyで使用する主なクラスについて,https://www.youtube.com/embed/BVv2JNnkKfU
Ruby,putsについて,https://www.youtube.com/embed/TFrYp4J6KLY
Ruby,変数について,https://www.youtube.com/embed/U3yqlU7HGnk
Ruby on Rails,Hello World アプリの解説（実践的なコントローラの作り方）,https://www.youtube.com/embed/1jMlnGwHiXo
Ruby on Rails,resourcesを使わないCRUDアプリの解説,https://www.youtube.com/embed/b_NlIEAQkoo
Ruby on Rails,resourcesを使ったCRUDアプリの解説,https://www.youtube.com/embed/QWixLhP62M8
Ruby on Rails,デバッグツールの使い方,https://www.youtube.com/embed/dmkzIosRytI
Ruby on Rails,CSVデータインポートアプリの解説,https://www.youtube.com/embed/KqOoZQoJTG8
Ruby on Rails,Rakeタスクの実装,https://www.youtube.com/embed/EntRvD_KSNA
Ruby on Rails,Deviseを使ったログイン機能の実装,https://www.youtube.com/embed/AIUsm87NyaM
Talk,高卒・アラサーからプログラマーに転職したあじーさんのインタビュー,https://www.youtube.com/embed/jvSOJvq_kAg
Talk,36歳携帯販売員からプログラマーに転職した田中さんのインタビュー,https://www.youtube.com/embed/f-MOZRFL1EQ
Talk,機械学習エンジニアのとみーさん対談,https://www.youtube.com/embed/1H_Bwe1XHcE
Live,【第1回】Twitterクローンアプリで学ぶアソシエーション勉強会,https://www.youtube.com/embed/mTeCYotISMk
Live,【第2回】Twitterクローンアプリで学ぶアソシエーション勉強会,https://www.youtube.com/embed/V85-9-6wBtM
Live,【初心者必見】Rails環境構築中のエラーを一緒に解決してみた,https://www.youtube.com/embed/qZEHjMtsEq0
Movie,Lesson 0,https://www.youtube.com/embed/wbnxfybxlYU
Movie,Lesson 1,https://www.youtube.com/embed/u3UTAz97eWg
Movie,Lesson 2,https://www.youtube.com/embed/v9u0pZoGKww
Movie,Lesson 3,https://www.youtube.com/embed/QVdaGrIFVdU
Movie,Lesson 4,https://www.youtube.com/embed/3LZlqVwkOaw
Movie,Lesson 5,https://www.youtube.com/embed/55TFAqkCCEI
Php,Lesson 1,https://www.youtube.com/embed/qKy7X5umlqc
Php,Lesson 2,https://www.youtube.com/embed/tvzdT5_mIv0
Php,Lesson 3,https://www.youtube.com/embed/ZEh2SIKqkL0
Php,Lesson 4,https://www.youtube.com/embed/u_oLIlZuLKE
Writing,Lesson 1,https://www.youtube.com/embed/8WVV-gdtilE
Writing,Lesson 2,https://www.youtube.com/embed/qhZlO-qa6kk
Writing,Lesson 3,https://www.youtube.com/embed/H6kHT3iIvdQ
Marketing,情報発信とは,https://www.youtube.com/embed/Wkorz--0xMo
Marketing,集客を自動化しよう,https://www.youtube.com/embed/ClTzB1fmYyw
